Best parameters,Validation MSE,Test MSE,Model,Run
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY7nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY7nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY7nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP7
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP7
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP7
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP7nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP7nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP7nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY8
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY8
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY8
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY8nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY8nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY8nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP8
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP8
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP8
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP8nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP8nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP8nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY9
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY9
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY9
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY9nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY9nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY9nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP9
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP9
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP9
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP9nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP9nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP9nonStandard
